Site,Latitude,Longitude
1,18.416,-90.000
2,-1.000,-78.000
3,3.316,-76.066
4,36.347,-113.161
5,-43.164,146.698
6,-43.122,-74.030
7,-37.055,149.873
8,-35.493,147.308
9,-34.115,116.369
10,-33.860,150.830
11,-33.760,145.060
12,-32.410,152.470
13,-32.230,116.080
14,-32.221,150.896
15,-28.626,32.074
16,-27.636,149.900
17,-27.154,152.651
18,-27.018,-49.017
19,-27.012,150.716
20,-26.800,-65.383
21,-17.500,145.300
22,-25.372,-48.567
23,-25.300,-48.683
24,-25.038,-48.861
25,-25.030,152.000
26,-24.529,-48.686
27,-23.739,-47.074
28,-23.342,-45.117
29,-22.462,-52.123
30,-21.850,-46.567
31,-19.000,-42.000
32,-18.954,48.522
33,-18.917,48.492
34,-18.750,-39.751
35,-17.310,145.495
36,-17.160,145.410
37,-17.119,-65.602
38,-17.000,145.500
39,-16.750,-61.750
40,-16.317,46.750
41,-16.132,145.415
42,-15.750,-63.000
43,-15.625,-41.500
44,-15.502,-63.025
45,-15.283,-39.067
46,-12.853,132.587
47,-12.670,132.830
48,-11.373,43.314
49,-11.108,-75.362
50,-10.333,-62.900
51,-10.000,120.000
52,-9.208,-58.958
53,-8.367,35.967
54,-7.833,-50.267
55,-7.771,-51.962
56,-5.267,-49.833
57,-5.000,145.733
58,-4.416,39.500
59,-3.533,-64.967
60,-3.356,-54.949
61,-3.000,129.000
62,-3.283,129.567
63,-2.733,-55.683
64,-2.617,-60.183
65,-2.569,-55.371
66,-2.518,-60.030
67,-2.417,-59.833
68,-2.000,106.000
69,-1.900,-61.450
70,-1.700,-80.750
71,-1.667,-56.450
72,-35.600,147.300
73,-1.507,120.036
74,-1.500,103.000
75,-1.283,112.367
76,-1.267,116.900
77,-1.236,-69.922
78,-1.209,120.142
79,-1.107,120.128
80,-1.066,-77.600
81,-1.030,29.686
82,-1.030,116.636
83,-1.000,-56.450
84,-1.000,-52.500
85,-0.975,-52.500
86,-0.917,110.250
87,-0.913,-52.561
88,-0.333,111.000
89,-0.100,114.000
90,0.025,-78.683
91,0.216,30.316
92,0.286,34.879
93,0.436,30.535
94,0.574,30.394
95,1.333,103.833
96,1.750,31.500
97,1.840,103.495
98,2.000,98.500
99,2.100,103.300
100,2.342,103.400
101,2.833,115.833
102,3.391,11.375
103,4.198,114.043
104,4.233,116.467
105,4.333,114.083
106,4.500,-59.000
107,4.725,6.848
108,4.966,11.800
109,4.966,117.800
110,5.208,117.292
111,5.208,118.625
112,5.360,-1.369
113,5.379,9.185
114,5.383,9.183
115,5.603,117.644
116,6.046,116.703
117,6.083,116.550
118,6.350,80.350
119,6.955,2.125
120,7.450,36.450
121,7.508,-59.342
122,7.549,-11.348
123,7.750,-61.125
124,8.292,-9.333
125,8.533,77.417
126,8.583,-71.092
127,8.780,-82.950
128,8.817,-82.933
129,8.825,-80.108
130,9.166,-79.850
131,9.167,-70.850
132,9.200,-79.583
133,9.633,-83.875
134,10.150,-61.100
135,10.333,-84.750
136,10.392,77.108
137,10.403,-84.021
138,10.433,-84.000
139,10.433,-83.985
140,10.433,-67.300
141,10.433,-83.983
142,10.683,-84.167
143,10.833,-85.650
144,10.840,-85.620
145,11.450,30.450
146,13.425,75.217
147,13.617,39.350
148,13.667,-85.833
149,14.550,75.000
150,15.383,-90.067
151,15.417,99.158
152,16.117,-90.933
153,17.333,-96.300
154,17.608,-92.463
155,18.000,-76.400
156,18.000,-66.100
157,18.017,-66.083
158,18.333,-65.817
159,18.417,-95.000
160,18.444,-89.104
161,18.518,-95.169
162,18.553,98.515
163,18.582,-95.105
164,19.060,-69.586
165,19.378,-70.520
166,19.399,-102.245
167,19.460,-96.950
168,19.567,-96.792
169,19.583,-96.383
170,21.067,105.358
171,21.142,-87.183
172,21.464,110.905
173,22.025,100.871
174,22.807,92.566
175,23.558,92.375
176,23.566,92.388
177,24.063,101.278
178,26.317,75.425
179,28.310,-16.560
180,34.279,-114.121
181,34.417,129.333
182,35.250,-106.150
183,35.260,-111.710
184,35.270,-111.680
185,36.366,-113.110
186,37.100,-122.130
187,38.960,-106.350
188,39.330,-82.760
189,40.060,-122.110
190,41.000,-106.000
191,41.900,82.360
192,42.100,-123.200
193,44.083,-64.767
194,44.800,8.316
195,47.000,-113.000
196,50.700,-120.300
197,63.830,18.295
198,NA,NA
199,5.367,-2.600
200,14.916,-92.066
201,NA,NA
202,NA,NA
203,NA,NA
204,NA,NA
205,NA,NA
206,NA,NA
207,NA,NA
208,43.521,11.488
209,-24.364,150.626
210,-32.334,116.102
211,11.089,-72.675
212,NA,NA
213,30.579,-86.758
214,-32.286,116.110
215,NA,NA
216,NA,NA
217,34.833, -89.470
218,41.259,-4.274
219,-26.500,152.500
220,-17.278,145.657
221,5.833,-7.333
222,-22.830,-48.400
223,-35.600,147.300
224,-1.030,116.636
225,-1.000,-56.450
226,-0.100,114.000
227,0.216,30.316
228,4.333,114.083
229,4.966,117.800
230,4.966,117.800
231,10.433,-84.000
232,10.433,-84.000
233,13.750,-15.660
234,18.333,-65.817
235,35.250,-106.150
236,35.280,-82.280
237,39.180,-82.360
238,47.000,-113.000
239,11.089,-72.675
240,34.833, -89.470
241,41.259,-4.274
242,NA,NA
243,NA,NA
244,NA,NA
245,42.500,-72.167
246,-11.100,-37.566
247,19.000,69.670
248,-2.980,-47.510
249,35.000,-84.360
250,NA,NA
251,-17.250,145.520
252,NA,NA
253,NA,NA
254,24.78,113.6
255,-24.280,-50.540
256,-20.040,-44.190
257,-22.720,-48.170
258,-21.220,-44.980
259,-21.220,-44.960
260,-19.590,-43.280
261,-19.600,-43.270
262,-23.450,-51.250
263,-20.830,-48.400
264,18.160,-65.500
265,-22.580,-47.510
266,-22.650,-47.200
267,-9.830,-45.340
268,-22.210,-49.660
269,-22.500,-42.250
270,NA,NA
271,-22.500,-42.250
272,NA,NA
273,NA,NA
274,NA,NA
