"","CNTRY_NAME","zone","MeanCountryvert","SDCountryvert"
"1","Angola",2,0.367451826535006,0.0801530684213747
"2","Benin",4,0.222942201504067,0.0167250665300462
"3","Burundi",7,0.457464820282026,0.0468668668372531
"4","Cameroon",9,0.232992877826394,0.0748886075836862
"5","Central African Republic",11,0.168255583538555,0.0324001709109394
"6","Comoros",13,0.19390689889777,0.00377023650616647
"7","Mayotte",15,0.200677105222923,0.00416347828694158
"8","Nigeria",16,0.237187878836259,0.0399930382940381
"9","Congo",18,0.21298970432665,0.093770996576302
"10","Congo, DRC",19,0.186892791714619,0.0552551322733529
"11","Cote d'Ivoire",20,0.204927322227077,0.0149856099944576
"12","Equatorial Guinea",22,0.221042660329936,0.0195920005069851
"13","Ethiopia",24,0.35146729940875,0.113274723361656
"14","Gabon",26,0.208123556810777,0.0577839274561093
"15","Ghana",27,0.207036922820817,0.009357121875818
"16","Guinea",28,0.246731270822652,0.048780686581034
"17","Kenya",36,0.233926949155001,0.067274075586878
"18","Liberia",38,0.164193672980771,0.0413472798822754
"19","Madagascar",40,0.312206288895987,0.0961812826555885
"20","Mauritius",44,0.39025417329109,0.000663027131573804
"21","Morocco",45,0.306171790681237,0.0745706197440165
"22","Mozambique",46,0.217351827705729,0.0534557787050773
"23","Rwanda",49,0.367835024396376,0.0233997572328252
"24","Reunion",50,0.206178819139798,0.00563992939533391
"25","Sao Tome & Principe",51,0.223066893882222,0.00741922006461335
"26","Sierra Leone",53,0.212287280134573,0.026986298949842
"27","Somalia",54,0.195732695586899,0.0200734383717218
"28","Tanzania",56,0.249715178143343,0.0769605769870616
"29","South Africa",57,0.365538963981059,0.105573719072729
"30","South Sudan",58,0.340573276185407,0.0612100625230394
"31","Swaziland",59,0.39686149318476,0.0956035505564379
"32","Togo",62,0.211337955011097,0.00785342434904501
"33","Uganda",64,0.305703830557082,0.0601908972110462
"34","Zambia",66,0.149034016208489,0.0404889288651599
"35","Zimbabwe",67,0.297173448043969,0.0187444150480223
"36","Portugal",68,0.282521421588562,0.00592201696675836
"37","Afghanistan",70,0.289029198548248,0.0639429788250511
"38","Bangladesh",71,0.246908659763499,0.0363191320317112
"39","Bhutan",72,0.214784756582238,0.0206179936695869
"40","Myanmar",74,0.366806631647105,0.135521941551137
"41","Cambodia",75,0.230687665143342,0.0584655770135
"42","China",76,0.310856755590718,0.101585560883507
"43","Hong Kong (China)",77,0.216368271308272,0.00500186786026586
"44","India",86,0.249495986985818,0.043460625770907
"45","Japan",87,0.478834097148593,0.0932844824024495
"46","Laos",91,0.309546863528679,0.0977746527978018
"47","Nepal",95,0.256322632786923,0.0577436815073135
"48","Pakistan",97,0.244840968684429,0.0426426956774526
"49","South Korea",99,0.456676098284032,0.129511241662787
"50","Sri Lanka",100,0.303998077450707,0.0659370900294029
"51","Taiwan",101,0.377176188310046,0.151049120612778
"52","Thailand",103,0.316468289392625,0.101210575308552
"53","Vietnam",106,0.272230854716523,0.0821243222108162
"54","Iran",137,0.370634216424395,0.10058163935768
"55","Iraq",138,0.39001897134279,0.023967296062792
"56","Anguilla",182,0.201934451858203,0.000266217314707461
"57","Antigua & Barbuda",183,0.225986935448327,0.00930639213006766
"58","Belize",185,0.128375491287648,0.034564826476459
"59","Bermuda",186,0.220518305897713,0
"60","Cayman Is.",188,0.221282582978408,0.0034682367766501
"61","Colombia",190,0.246802488619858,0.0584053445368908
"62","Costa Rica",191,0.292872365245754,0.059594410174512
