value,count,class,zone,group
0.0865,48318,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.101,291,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1125,290,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1126,6072,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1158,225010,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1249,10051,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1274,5425,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.143,23899,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1446,80,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.145,1367755,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1455,1496,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1537,1490,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1647,116818,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1668,7827,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1686,13721,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.1782,13098,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2303,23399,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2308,48992,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2323,37682,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2335,20554,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2359,138857,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2388,112,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2396,2226,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2402,1040961,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2516,163032,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2519,220730,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2526,59,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.256,1413,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2584,31032,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.259,340557,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2601,13082,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2608,76926,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2609,58,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2615,65228,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.262,1383,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2621,30164,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2628,21977,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2634,12997,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2646,12685,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.2831,71463,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.3246,31421,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.3264,152910,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.3301,435501,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.3416,89514,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.3439,8187,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.3651,41293,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.4346,7507,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.4365,24489,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.4383,14381,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.4392,108609,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.4671,18138,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.4694,28900,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.4697,201288,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.4955,120081,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.4975,166790,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.4993,281272,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.5005,260872,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.614,160436,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.6141,124029,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.7064,63084,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.716,14953,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.7946,183363,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.8248,73720,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.8254,217620,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.8272,27727,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.8298,61830,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.863,142868,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.8635,5561,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.9445,137987,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.9454,24193,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.9478,40160,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.9481,9995,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
1,15877,Tropical & Subtropical Moist Broadleaf Forests,1,Flora
0.0865,5465,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.101,17,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1125,30,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1126,656,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1158,12167,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1249,2078,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1274,687,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.143,4885,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1446,9,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.145,304944,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1455,316,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1537,321,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1647,24715,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1668,1620,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1686,2867,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.1782,2750,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
0.2303,3856,Tropical & Subtropical Dry Broadleaf Forests,2,Flora
