value,count,class,zone,group
0.0757,1,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0758,9,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0759,4,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.076,1,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0761,1,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0762,8,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0763,31,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0764,17,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0765,49,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0766,26,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0767,16,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0768,11,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0769,35,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.077,83,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0771,61,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0772,74,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0773,44,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0774,52,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0775,133,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0776,33,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0777,58,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0778,36,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0779,38,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.078,11,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0781,18,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
0.0782,46,Tropical & Subtropical Moist Broadleaf Forests,1,Vertebrades
