"","CNTRY_NAME","zone","weightedMeanCountryInvert","weightedSDCountryInvert"
"1","Algeria",1,NA,NA
"2","Angola",2,6.589258518987,0.05207613257762
"3","In dispute South Sudan/Sudan",3,NA,NA
"4","Benin",4,52.3495426960262,0.0883482486411573
"5","Botswana",5,NA,NA
"6","Burkina Faso",6,NA,NA
"7","Burundi",7,37.8480291641446,0.0604588638504634
"8","Cameroon",9,11.9248451819885,0.0806616779562434
"9","Cape Verde",10,NA,NA
"10","Central African Republic",11,10.8833406972118,0.0810836734268608
"11","Chad",12,NA,NA
"12","Comoros",13,17.8075828947606,0.0801452369245426
"13","Egypt",14,NA,NA
"14","Mayotte",15,17.3480160361654,0.0485982188441645
"15","Nigeria",16,33.2097065244201,0.0591994080519865
"16","Seychelles",17,36.6352462768555,NA
"17","Congo",18,9.80685531983606,0.0891885404742507
"18","Congo, DRC",19,10.0746461708597,0.098271736857696
"19","Cote d'Ivoire",20,29.6825654238378,0.0874453877803022
"20","Djibouti",21,NA,NA
"21","Equatorial Guinea",22,6.25832475755784,0.0762454074899379
"22","Eritrea",23,NA,NA
"23","Ethiopia",24,28.4973451718944,0.0811287061039077
"24","French Southern & Antarctic Lands",25,NA,NA
"25","Gabon",26,5.94366194921785,0.075719474450223
"26","Ghana",27,29.127859605596,0.108464034871145
"27","Guinea",28,34.5705885086192,0.0808212424741651
"28","Guinea-Bissau",29,NA,NA
"29","In dispute Benin/Burkina Faso",31,NA,NA
"30","In dispute Djibouti/Eritrea",33,NA,NA
"31","In dispute Egypt/Saudi Arabia",34,NA,NA
"32","Kenya",36,41.2822979769207,0.101282680711324
"33","Lesotho",37,NA,NA
"34","Liberia",38,15.5543964833154,0.0817998276333209
"35","Libya",39,NA,NA
"36","Madagascar",40,43.0321451498937,0.081201846111434
"37","Malawi",41,NA,NA
"38","Mali",42,NA,NA
"39","Mauritania",43,NA,NA
"40","Mauritius",44,34.4175155842541,0.0780778400657152
"41","Morocco",45,36.329620942767,0.043450704857484
"42","Mozambique",46,38.6487247686946,0.0992171069863834
"43","Namibia",47,NA,NA
"44","Niger",48,NA,NA
"45","Rwanda",49,41.5517436357974,0.0734966818056155
"46","Reunion",50,24.5549126157428,0.108743785267945
"47","Sao Tome & Principe",51,22.9793606058757,0.00279357952448006
"48","Senegal",52,NA,NA
"49","Sierra Leone",53,32.283991735371,0.0847900620937015
"50","Somalia",54,57.3384641916334,0.0898596487363341
"51","Sudan",55,NA,NA
"52","Tanzania",56,35.5021045945582,0.0917225413036756
"53","South Africa",57,37.87794790038,0.0828753871001059
"54","South Sudan",58,31.7513979356661,0.0558714606965666
"55","Swaziland",59,35.9993270845438,0.0775234097879068
"56","St. Helena",60,NA,NA
"57","The Gambia",61,NA,NA
"58","Togo",62,32.56040339196,0.0643006712351714
"59","Tunisia",63,NA,NA
"60","Uganda",64,32.8175094739019,0.0813383350057974
"61","Western Sahara",65,NA,NA
"62","Zambia",66,31.9937802299948,0.0937753519750837
"63","Zimbabwe",67,39.4105894388557,0.0709104466881255
"64","Portugal",68,31.9180522244027,0.0701343491317162
"65","Afghanistan",70,37.6141057573516,0.0226725282949958
"66","Bangladesh",71,51.2162444586868,0.0702150942702996
"67","Bhutan",72,21.1733741392924,0.0804406413845636
"68","British Indian Ocean Territory",73,NA,NA
"69","Myanmar",74,24.2553467788011,0.0878899715151775
"70","Cambodia",75,32.0807732207836,0.109808711181404
"71","China",76,33.926710368682,0.080187309556088
"72","Hong Kong (China)",77,26.144914919148,0.0659980610160623
"73","In dispute-Paracel Islands",78,NA,NA
"74","In dispute Bhutan/China",79,NA,NA
"75","In dispute China/India",80,NA,NA
"76","In dispute China/Japan/Taiwan",81,NA,NA
"77","In dispute India/Nepal",82,NA,NA
"78","India",86,39.6185009419983,0.0722807751177539
"79","Japan",87,15.9890552202225,0.0556691884248077
"80","Laos",91,20.1559585374418,0.100243146981543
"81","Macau (China)",92,NA,NA
"82","Maldives",93,NA,NA
"83","Nepal",95,31.8266902315466,0.052620963737634
