system:index,fr,ir,.geo
0_52,0.6226898431777954,0.09334471076726913,"{""type"":""Point"",""coordinates"":[22.71479171796895,1.0143778593121309]}"
0_72,0.5435081124305725,0.23135246336460114,"{""type"":""Point"",""coordinates"":[-60.5124985016418,-4.463053703784929]}"
0_111,0.16893407702445984,0.17577220499515533,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_115,0.7465973496437073,0.16536067426204681,"{""type"":""Point"",""coordinates"":[-52.78736446946813,-23.581759649268232]}"
0_171,0.6036077737808228,0.17771266400814056,"{""type"":""Point"",""coordinates"":[-74.07388192541826,1.4318716067264259]}"
0_225,0.5430299043655396,0.1658480316400528,"{""type"":""Point"",""coordinates"":[-53.8028343869783,-6.736868514781904]}"
0_262,0.4406258761882782,0.19199725985527039,"{""type"":""Point"",""coordinates"":[-69.49470499111037,-8.722024517679067]}"
0_299,0.3474387526512146,0.14208896458148956,"{""type"":""Point"",""coordinates"":[-78.17674667109227,2.1358907284903283]}"
0_335,0.24670405685901642,0.10615990310907364,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_386,0.6682016849517822,0.1644905060529709,"{""type"":""Point"",""coordinates"":[12.064135554715913,-1.8485106516379572]}"
0_456,0.3110958933830261,0.10368522256612778,"{""type"":""Point"",""coordinates"":[-51.06281601748063,-21.709693723088783]}"
0_508,0.37891077995300293,0.17452526092529297,"{""type"":""Point"",""coordinates"":[-50.51555199781135,1.6608933670639696]}"
0_545,0.23565073311328888,0.13776135444641113,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_562,0.6731057167053223,0.11601380258798599,"{""type"":""Point"",""coordinates"":[18.549664582679373,-2.778992979626771]}"
0_587,0.5912368297576904,0.19268740713596344,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_594,0.28421393036842346,0.11609682440757751,"{""type"":""Point"",""coordinates"":[-97.53079195177683,17.04539540190604]}"
0_604,0.5360967516899109,0.14075195789337158,"{""type"":""Point"",""coordinates"":[-77.14339174071856,6.036134516280297]}"
