system:index,ia,ir,.geo
0_52,1.3933779001235962,0.09334471076726913,"{""type"":""Point"",""coordinates"":[22.71479171796895,1.0143778593121309]}"
0_111,1.1268471479415894,0.17577220499515533,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_115,2.4244298934936523,0.16536067426204681,"{""type"":""Point"",""coordinates"":[-52.78736446946813,-23.581759649268232]}"
0_147,1.000427007675171,0.1739947497844696,"{""type"":""Point"",""coordinates"":[-47.053886330167735,-3.0601319117152257]}"
0_171,1.196519374847412,0.17771266400814056,"{""type"":""Point"",""coordinates"":[-74.07388192541826,1.4318716067264259]}"
0_225,1.2662273645401,0.1658480316400528,"{""type"":""Point"",""coordinates"":[-53.8028343869783,-6.736868514781904]}"
0_253,0.7374873161315918,0.1732666790485382,"{""type"":""Point"",""coordinates"":[-60.539558421645495,-12.157157134643647]}"
0_262,1.4983413219451904,0.19199725985527039,"{""type"":""Point"",""coordinates"":[-69.49470499111037,-8.722024517679067]}"
0_298,1.4280487298965454,0.2508852183818817,"{""type"":""Point"",""coordinates"":[13.904209614076203,1.4194579156627114]}"
0_300,0.7297747731208801,0.16853134334087372,"{""type"":""Point"",""coordinates"":[-63.61437556736433,-12.40983992151835]}"
0_335,1.127224326133728,0.10615990310907364,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_386,1.2940330505371094,0.1644905060529709,"{""type"":""Point"",""coordinates"":[12.064135554715913,-1.8485106516379572]}"
0_392,0.6957957148551941,0.16853134334087372,"{""type"":""Point"",""coordinates"":[-63.753184248580446,-12.38922622984565]}"
0_398,0.8713750243186951,0.17446891963481903,"{""type"":""Point"",""coordinates"":[-63.9871934748876,-17.09822182591945]}"
0_456,2.4088399410247803,0.10368522256612778,"{""type"":""Point"",""coordinates"":[-51.06281601748063,-21.709693723088783]}"
0_545,1.3115850687026978,0.13776135444641113,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_562,0.7430298924446106,0.11601380258798599,"{""type"":""Point"",""coordinates"":[18.549664582679373,-2.778992979626771]}"
0_587,1.5963332653045654,0.19268740713596344,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_604,1.4695976972579956,0.14075195789337158,"{""type"":""Point"",""coordinates"":[-77.14339174071856,6.036134516280297]}"
