system:index,ia,va,.geo
0_34,1.0959423780441284,1.4624701738357544,"{""type"":""Point"",""coordinates"":[-12.060559370089214,11.642505610327161]}"
0_49,1.2451499700546265,1.1630042791366577,"{""type"":""Point"",""coordinates"":[-101.59089136246003,18.028154198010448]}"
0_52,1.3933779001235962,1.1279780864715576,"{""type"":""Point"",""coordinates"":[22.71479171796895,1.0143778593121309]}"
0_57,2.2679548263549805,0.8599572777748108,"{""type"":""Point"",""coordinates"":[24.49776379967554,-15.424510684296594]}"
0_85,0.7684061527252197,0.9518606066703796,"{""type"":""Point"",""coordinates"":[-80.01728754673853,-2.0912472110645077]}"
0_111,1.1268471479415894,0.5669841170310974,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_115,2.4244298934936523,0.489380806684494,"{""type"":""Point"",""coordinates"":[-52.78736446946813,-23.581759649268232]}"
0_147,1.000427007675171,0.9534172415733337,"{""type"":""Point"",""coordinates"":[-47.053886330167735,-3.0601319117152257]}"
0_171,1.196519374847412,0.3920813798904419,"{""type"":""Point"",""coordinates"":[-74.07388192541826,1.4318716067264259]}"
0_225,1.2662273645401,0.38403499126434326,"{""type"":""Point"",""coordinates"":[-53.8028343869783,-6.736868514781904]}"
0_253,0.7374873161315918,0.3965614438056946,"{""type"":""Point"",""coordinates"":[-60.539558421645495,-12.157157134643647]}"
0_262,1.4983413219451904,0.6625273823738098,"{""type"":""Point"",""coordinates"":[-69.49470499111037,-8.722024517679067]}"
0_300,0.7297747731208801,0.47187745571136475,"{""type"":""Point"",""coordinates"":[-63.61437556736433,-12.40983992151835]}"
0_322,1.2603015899658203,1.242964744567871,"{""type"":""Point"",""coordinates"":[-42.05149067334575,-11.165469720508998]}"
0_335,1.127224326133728,0.4837406277656555,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_385,0.6735562086105347,1.1918396949768066,"{""type"":""Point"",""coordinates"":[-36.05832644874819,-6.162448926403277]}"
0_386,1.2940330505371094,0.8347429037094116,"{""type"":""Point"",""coordinates"":[12.064135554715913,-1.8485106516379572]}"
0_392,0.6957957148551941,0.4721083641052246,"{""type"":""Point"",""coordinates"":[-63.753184248580446,-12.38922622984565]}"
0_398,0.8713750243186951,0.5495365262031555,"{""type"":""Point"",""coordinates"":[-63.9871934748876,-17.09822182591945]}"
0_451,1.3750487565994263,0.9493498802185059,"{""type"":""Point"",""coordinates"":[-43.91289462512103,-14.25219596251463]}"
0_456,2.4088399410247803,0.4788872003555298,"{""type"":""Point"",""coordinates"":[-51.06281601748063,-21.709693723088783]}"
0_501,1.5319263935089111,1.5453523397445679,"{""type"":""Point"",""coordinates"":[-73.04867464135494,4.8495900799594995]}"
0_531,0.756459653377533,1.2969284057617188,"{""type"":""Point"",""coordinates"":[-41.581228320716086,-7.101982114612087]}"
0_545,1.3115850687026978,1.3985756635665894,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_562,0.7430298924446106,0.6113486289978027,"{""type"":""Point"",""coordinates"":[18.549664582679373,-2.778992979626771]}"
0_587,1.5963332653045654,0.5831418633460999,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_604,1.4695976972579956,0.4703441262245178,"{""type"":""Point"",""coordinates"":[-77.14339174071856,6.036134516280297]}"
0_611,0.7423021197319031,1.5504239797592163,"{""type"":""Point"",""coordinates"":[-40.17368293763156,-4.7537492940783705]}"
0_688,1.0872056484222412,0.5784780979156494,"{""type"":""Point"",""coordinates"":[-108.21367147709796,26.94656810832792]}"
0_715,1.604060173034668,0.3056524693965912,"{""type"":""Point"",""coordinates"":[-53.283795979215974,-8.142014734732465]}"
0_726,1.7049882411956787,1.1969029903411865,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_727,1.0358130931854248,0.5840306282043457,"{""type"":""Point"",""coordinates"":[-110.20319801925139,29.81866902661796]}"
0_776,1.2109827995300293,0.9996830224990845,"{""type"":""Point"",""coordinates"":[-46.83459791612236,-4.015388550202881]}"
0_800,1.7485491037368774,0.9013782739639282,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_803,2.0344157218933105,1.0356123447418213,"{""type"":""Point"",""coordinates"":[-57.34692231854492,-14.313913841644558]}"
