system:index,ir,va,.geo
0_52,0.09334471076726913,1.1279780864715576,"{""type"":""Point"",""coordinates"":[22.71479171796895,1.0143778593121309]}"
0_72,0.23135246336460114,0.3824189007282257,"{""type"":""Point"",""coordinates"":[-60.5124985016418,-4.463053703784929]}"
0_111,0.17577220499515533,0.5669841170310974,"{""type"":""Point"",""coordinates"":[-40.76927988783975,-19.40843277165198]}"
0_115,0.16536067426204681,0.489380806684494,"{""type"":""Point"",""coordinates"":[-52.78736446946813,-23.581759649268232]}"
0_147,0.1739947497844696,0.9534172415733337,"{""type"":""Point"",""coordinates"":[-47.053886330167735,-3.0601319117152257]}"
0_171,0.17771266400814056,0.3920813798904419,"{""type"":""Point"",""coordinates"":[-74.07388192541826,1.4318716067264259]}"
0_225,0.1658480316400528,0.38403499126434326,"{""type"":""Point"",""coordinates"":[-53.8028343869783,-6.736868514781904]}"
0_253,0.1732666790485382,0.3965614438056946,"{""type"":""Point"",""coordinates"":[-60.539558421645495,-12.157157134643647]}"
0_262,0.19199725985527039,0.6625273823738098,"{""type"":""Point"",""coordinates"":[-69.49470499111037,-8.722024517679067]}"
0_299,0.14208896458148956,0.822478175163269,"{""type"":""Point"",""coordinates"":[-78.17674667109227,2.1358907284903283]}"
0_300,0.16853134334087372,0.47187745571136475,"{""type"":""Point"",""coordinates"":[-63.61437556736433,-12.40983992151835]}"
0_335,0.10615990310907364,0.4837406277656555,"{""type"":""Point"",""coordinates"":[-54.46203934477781,-24.532618764733996]}"
0_386,0.1644905060529709,0.8347429037094116,"{""type"":""Point"",""coordinates"":[12.064135554715913,-1.8485106516379572]}"
0_392,0.16853134334087372,0.4721083641052246,"{""type"":""Point"",""coordinates"":[-63.753184248580446,-12.38922622984565]}"
0_398,0.17446891963481903,0.5495365262031555,"{""type"":""Point"",""coordinates"":[-63.9871934748876,-17.09822182591945]}"
0_456,0.10368522256612778,0.4788872003555298,"{""type"":""Point"",""coordinates"":[-51.06281601748063,-21.709693723088783]}"
0_508,0.17452526092529297,0.5235768556594849,"{""type"":""Point"",""coordinates"":[-50.51555199781135,1.6608933670639696]}"
0_545,0.13776135444641113,1.3985756635665894,"{""type"":""Point"",""coordinates"":[-41.80186286997935,-4.890962797015347]}"
0_562,0.11601380258798599,0.6113486289978027,"{""type"":""Point"",""coordinates"":[18.549664582679373,-2.778992979626771]}"
0_587,0.19268740713596344,0.5831418633460999,"{""type"":""Point"",""coordinates"":[11.478641700399761,-1.507138994515493]}"
0_594,0.11609682440757751,0.45124390721321106,"{""type"":""Point"",""coordinates"":[-97.53079195177683,17.04539540190604]}"
0_604,0.14075195789337158,0.4703441262245178,"{""type"":""Point"",""coordinates"":[-77.14339174071856,6.036134516280297]}"
0_670,0.16507883369922638,0.3769111633300781,"{""type"":""Point"",""coordinates"":[-93.09325944908412,30.711491712469442]}"
0_684,0.11689165234565735,1.2048195600509644,"{""type"":""Point"",""coordinates"":[-77.39291592472628,-6.263633701742751]}"
0_726,0.18308188021183014,1.1969029903411865,"{""type"":""Point"",""coordinates"":[-77.57566297761265,2.044678450614831]}"
0_776,0.15764562785625458,0.9996830224990845,"{""type"":""Point"",""coordinates"":[-46.83459791612236,-4.015388550202881]}"
0_800,0.19939619302749634,0.9013782739639282,"{""type"":""Point"",""coordinates"":[-52.190257436577255,-28.618608177896917]}"
0_803,0.17573468387126923,1.0356123447418213,"{""type"":""Point"",""coordinates"":[-57.34692231854492,-14.313913841644558]}"
0_833,0.14813680946826935,0.4888530969619751,"{""type"":""Point"",""coordinates"":[-51.39361656256836,-10.10487048493083]}"
0_957,0.162054643034935,0.8398951292037964,"{""type"":""Point"",""coordinates"":[-73.0244610271212,2.4886956817736223]}"
0_1006,0.17399102449417114,1.0863115787506104,"{""type"":""Point"",""coordinates"":[-46.57010770572203,-3.0563950185742685]}"
0_1031,0.10373562574386597,0.8330805897712708,"{""type"":""Point"",""coordinates"":[-69.98235560009277,7.947102230216868]}"
0_1056,0.10632961988449097,0.532392144203186,"{""type"":""Point"",""coordinates"":[16.988687251852348,-1.832612159491252]}"
0_1104,0.15255743265151978,1.1178680658340454,"{""type"":""Point"",""coordinates"":[-79.07574261714177,-3.730379634669602]}"
0_1147,0.17516636848449707,0.3398204743862152,"{""type"":""Point"",""coordinates"":[-63.137275109667605,-12.432247488633266]}"
0_1176,0.17573468387126923,0.966772198677063,"{""type"":""Point"",""coordinates"":[-50.0651196739313,-5.200241240157903]}"
0_1177,0.17393893003463745,0.9214245080947876,"{""type"":""Point"",""coordinates"":[-46.1421519593604,-21.603957548812893]}"
0_1192,0.16588127613067627,0.2577377259731293,"{""type"":""Point"",""coordinates"":[-65.18665927536051,-11.550387534627513]}"
0_1193,0.162054643034935,0.8945278525352478,"{""type"":""Point"",""coordinates"":[-58.7304510449664,-3.1215936109851596]}"
0_1208,0.10858915001153946,0.4466612637042999,"{""type"":""Point"",""coordinates"":[-51.86213517756245,-23.589976671703415]}"
0_1212,0.1164139062166214,1.3084070682525635,"{""type"":""Point"",""coordinates"":[-8.717412920898537,6.3924100787480596]}"
0_1222,0.10660653561353683,0.724289059638977,"{""type"":""Point"",""coordinates"":[21.65375805789622,4.184565305030515]}"
0_1265,0.18039776384830475,1.2115833759307861,"{""type"":""Point"",""coordinates"":[-73.59443472217067,2.7771802237557774]}"
0_1324,0.13776135444641113,0.39226680994033813,"{""type"":""Point"",""coordinates"":[-43.45137339801128,-16.21108842108191]}"
0_1343,0.2112201452255249,0.9729194045066833,"{""type"":""Point"",""coordinates"":[-51.85437183242517,-29.176429250419158]}"
0_1356,0.21621133387088776,1.1013718843460083,"{""type"":""Point"",""coordinates"":[-9.513358902554504,5.536342400322117]}"
0_1393,0.1748378723859787,0.5917704701423645,"{""type"":""Point"",""coordinates"":[-60.33911632191774,-13.984500093249078]}"
0_1411,0.17563962936401367,0.6788172125816345,"{""type"":""Point"",""coordinates"":[-59.79056618006265,-14.792398060985905]}"
0_1421,0.18668347597122192,0.6063631772994995,"{""type"":""Point"",""coordinates"":[14.231488878067418,-0.4569739978485165]}"
0_1445,0.13776135444641113,0.4334699809551239,"{""type"":""Point"",""coordinates"":[-105.84367626799288,24.295870391219005]}"
0_1454,0.10790396481752396,0.4677462577819824,"{""type"":""Point"",""coordinates"":[-80.56444810992002,34.77348493145875]}"
0_1464,0.16478405892848969,0.45090243220329285,"{""type"":""Point"",""coordinates"":[-63.440901289555036,-12.29911941249573]}"
0_1474,0.13776135444641113,0.8123688101768494,"{""type"":""Point"",""coordinates"":[-42.487524023635245,-15.386601692746877]}"
0_1499,0.15764562785625458,0.4424842596054077,"{""type"":""Point"",""coordinates"":[-56.14137103224219,-10.751441513465457]}"
0_1637,0.13224084675312042,0.8206766843795776,"{""type"":""Point"",""coordinates"":[-55.34112290985044,-26.369455659439964]}"
0_1739,0.15544167160987854,0.7539039850234985,"{""type"":""Point"",""coordinates"":[-7.7374280914672475,4.941029570356647]}"
0_1764,0.09897246211767197,0.4121134579181671,"{""type"":""Point"",""coordinates"":[-87.33812771123678,33.23688458079653]}"
0_1792,0.1164139062166214,0.8755432963371277,"{""type"":""Point"",""coordinates"":[-58.015116422596016,-3.0601863765293946]}"
0_1799,0.1348298043012619,0.6046966314315796,"{""type"":""Point"",""coordinates"":[10.4366120921913,2.944165702229527]}"
0_1956,0.09895280748605728,1.1553353071212769,"{""type"":""Point"",""coordinates"":[-75.172046269941,3.355170010895166]}"
0_1959,0.17393893003463745,0.4308602809906006,"{""type"":""Point"",""coordinates"":[-59.58372146370953,-10.136651011306057]}"
0_2031,0.1739947497844696,0.5513087511062622,"{""type"":""Point"",""coordinates"":[-60.17335497253457,2.45298353607257]}"
0_2035,0.13948188722133636,0.33388450741767883,"{""type"":""Point"",""coordinates"":[27.782590614719233,0.9093049607446123]}"
0_2050,0.23135246336460114,0.9204186797142029,"{""type"":""Point"",""coordinates"":[-76.91374124128716,7.371686328178448]}"
0_2085,0.11689165234565735,1.6606863737106323,"{""type"":""Point"",""coordinates"":[12.981688338020264,-3.760772669728656]}"
0_2134,0.11320493370294571,0.7850404381752014,"{""type"":""Point"",""coordinates"":[-85.72496502038769,14.54761994709367]}"
0_2167,0.16546019911766052,0.5695276260375977,"{""type"":""Point"",""coordinates"":[-55.825782843510495,-3.139563308624419]}"
0_2208,0.097043976187706,0.6094983816146851,"{""type"":""Point"",""coordinates"":[-62.65361358429318,-17.01673661328209]}"
0_2210,0.13776135444641113,0.29550448060035706,"{""type"":""Point"",""coordinates"":[-61.76758033717604,-15.969768966875815]}"
0_2247,0.17397375404834747,0.4368470311164856,"{""type"":""Point"",""coordinates"":[-63.75190449620168,-15.61441752390075]}"
0_2300,0.19954007863998413,0.748458981513977,"{""type"":""Point"",""coordinates"":[-76.12777627519255,2.694118636001893]}"
0_2307,0.17516636848449707,0.39814314246177673,"{""type"":""Point"",""coordinates"":[-51.304032706763984,0.35669029600100655]}"
0_2376,0.16301079094409943,0.27974286675453186,"{""type"":""Point"",""coordinates"":[-60.08567844312024,-3.9907317384630363]}"
0_2398,0.15118174254894257,0.4599214196205139,"{""type"":""Point"",""coordinates"":[-49.52884241519525,-8.12739134036414]}"
0_2462,0.16527636349201202,0.429100900888443,"{""type"":""Point"",""coordinates"":[-64.0757494502283,-9.716698687848597]}"
0_2498,0.12321408092975616,0.5322510004043579,"{""type"":""Point"",""coordinates"":[-55.94038694068526,-22.627825585240725]}"
0_2500,0.17563962936401367,0.7717933058738708,"{""type"":""Point"",""coordinates"":[-49.60814116595845,-5.703710933380447]}"
0_2508,0.15236184000968933,0.33696305751800537,"{""type"":""Point"",""coordinates"":[-60.634567203901355,-15.512193070285738]}"
0_2512,0.17563962936401367,0.36875757575035095,"{""type"":""Point"",""coordinates"":[-49.484742517809785,-6.8733189326627535]}"
0_2538,0.1537066549062729,0.6448870301246643,"{""type"":""Point"",""coordinates"":[-52.142239622589706,-12.510460466197264]}"
0_2541,0.46019449830055237,0.6712297201156616,"{""type"":""Point"",""coordinates"":[-75.37969983134992,5.842329466306883]}"
0_2551,0.17303931713104248,0.48051321506500244,"{""type"":""Point"",""coordinates"":[11.461446410297642,1.0313948797421337]}"
0_2656,0.15764562785625458,0.8143226504325867,"{""type"":""Point"",""coordinates"":[-65.69621477668613,7.091168533110809]}"
0_2707,0.1642223596572876,0.3265904188156128,"{""type"":""Point"",""coordinates"":[-61.15972247701096,-10.614109642793569]}"
0_2730,0.17303594946861267,0.41707736253738403,"{""type"":""Point"",""coordinates"":[-83.86530366760974,10.401011333436898]}"
0_2763,0.1122603490948677,1.5084784030914307,"{""type"":""Point"",""coordinates"":[-98.755928724249,16.893022617725006]}"
0_2804,0.23417603969573975,0.9076135158538818,"{""type"":""Point"",""coordinates"":[-50.424985657959965,-26.470936430980192]}"
0_2881,0.16470886766910553,0.6051637530326843,"{""type"":""Point"",""coordinates"":[-52.35787691023208,-2.072853982162959]}"
0_2941,0.09571950137615204,1.1398578882217407,"{""type"":""Point"",""coordinates"":[-86.8545520103455,13.684832577896026]}"
0_3019,0.1774187684059143,0.9503333568572998,"{""type"":""Point"",""coordinates"":[-53.856338441998545,-26.120252422287347]}"
0_3082,0.14447185397148132,0.4673021137714386,"{""type"":""Point"",""coordinates"":[-94.99983103859917,30.15299284435629]}"
0_3295,0.16416187584400177,1.1638067960739136,"{""type"":""Point"",""coordinates"":[-45.80500521880425,-2.1513772805196374]}"
0_3316,0.09420064091682434,0.831855297088623,"{""type"":""Point"",""coordinates"":[-67.4677995297167,-16.545600931082316]}"
0_3377,0.15764562785625458,0.45501863956451416,"{""type"":""Point"",""coordinates"":[-54.5465257303568,-10.50820659829147]}"
0_3398,0.09636381268501282,0.48406627774238586,"{""type"":""Point"",""coordinates"":[-92.5140904032908,17.56698256300876]}"
0_3462,0.162054643034935,0.39509159326553345,"{""type"":""Point"",""coordinates"":[-83.06271596144775,8.916087997087926]}"
0_3489,0.17393893003463745,0.9890020489692688,"{""type"":""Point"",""coordinates"":[-50.09501465820328,0.17624457314534442]}"
0_3558,0.20839032530784607,1.1271687746047974,"{""type"":""Point"",""coordinates"":[-86.86865186907471,14.18184150711683]}"
0_3585,0.12311907857656479,0.41188713908195496,"{""type"":""Point"",""coordinates"":[-61.4774672529079,7.043964003161699]}"
0_3622,0.11355585604906082,0.4954994022846222,"{""type"":""Point"",""coordinates"":[-64.34256834893027,-16.461363765679238]}"
0_3645,0.151117205619812,1.325523853302002,"{""type"":""Point"",""coordinates"":[-73.17860112714051,9.790359757435327]}"
0_3668,0.20894205570220947,0.30238497257232666,"{""type"":""Point"",""coordinates"":[26.810973710245083,0.7051072969555986]}"
0_3743,0.10385619848966599,1.1949535608291626,"{""type"":""Point"",""coordinates"":[-70.65624875498659,9.7368877164025]}"
0_3783,0.17573468387126923,0.9953697919845581,"{""type"":""Point"",""coordinates"":[-57.29469799911744,-14.388791492884607]}"
0_3791,0.16527636349201202,0.6295992136001587,"{""type"":""Point"",""coordinates"":[-69.36103770549285,-10.365623222694014]}"
0_3871,0.1448667347431183,0.35779640078544617,"{""type"":""Point"",""coordinates"":[-81.96908131613024,33.73044879370322]}"
0_3873,0.21748614311218262,0.9123172163963318,"{""type"":""Point"",""coordinates"":[-75.95646564305498,-8.825057216946442]}"
0_3889,0.13518016040325165,1.1579089164733887,"{""type"":""Point"",""coordinates"":[-42.18575188948576,-20.68726100837161]}"
0_3922,0.15764562785625458,1.1338595151901245,"{""type"":""Point"",""coordinates"":[-46.72689426409312,-3.9593190803333225]}"
0_3924,0.21233686804771423,1.3342671394348145,"{""type"":""Point"",""coordinates"":[-93.37944456357289,16.68863248081319]}"
0_3937,0.1813056617975235,0.5151791572570801,"{""type"":""Point"",""coordinates"":[-76.52441065977727,4.001594667563549]}"
0_3944,0.16527636349201202,0.8306704759597778,"{""type"":""Point"",""coordinates"":[-69.7287155450621,-10.818058892845363]}"
0_4019,0.11135909706354141,1.3867602348327637,"{""type"":""Point"",""coordinates"":[-72.980675028626,9.562387799829347]}"
0_4046,0.17452526092529297,0.8828771114349365,"{""type"":""Point"",""coordinates"":[-52.710561851147865,-3.0239238078445116]}"
0_4056,0.16678498685359955,0.41639062762260437,"{""type"":""Point"",""coordinates"":[-61.311576769474534,-10.447371472094035]}"
0_4113,0.1045299544930458,0.9699426293373108,"{""type"":""Point"",""coordinates"":[-8.150128149243798,6.013508839450738]}"
0_4132,0.41586363315582275,1.2146670818328857,"{""type"":""Point"",""coordinates"":[11.780182521779103,4.042101934146785]}"
0_4136,0.16470886766910553,0.3750644624233246,"{""type"":""Point"",""coordinates"":[-55.08407388169677,-3.4645071943906554]}"
0_4140,0.16536067426204681,0.5469049215316772,"{""type"":""Point"",""coordinates"":[-51.79812843796407,0.7287805948314471]}"
0_4146,0.18717359006404877,1.0402402877807617,"{""type"":""Point"",""coordinates"":[-75.50216586332746,1.336755422088179]}"
0_4152,0.11947288364171982,1.5648785829544067,"{""type"":""Point"",""coordinates"":[-78.48908407035923,-5.8458491726769894]}"
0_4155,0.15236184000968933,0.9210404753684998,"{""type"":""Point"",""coordinates"":[-50.55281348023329,-18.821234376697685]}"
0_4160,0.1014864444732666,0.5989747643470764,"{""type"":""Point"",""coordinates"":[17.6187251141969,4.076227397284397]}"
0_4163,0.15764562785625458,1.4580729007720947,"{""type"":""Point"",""coordinates"":[-45.974340185598045,-3.7859651998880106]}"
0_4259,0.11206849664449692,0.28224506974220276,"{""type"":""Point"",""coordinates"":[-61.449396756639196,8.924049260766285]}"
0_4279,0.15236184000968933,0.5620378255844116,"{""type"":""Point"",""coordinates"":[23.4765064534592,5.376121886395863]}"
0_4293,0.13776135444641113,0.3142538368701935,"{""type"":""Point"",""coordinates"":[-60.80838430858855,-17.582865728407523]}"
0_4305,0.38266706466674805,1.1202483177185059,"{""type"":""Point"",""coordinates"":[19.45843138315632,2.3489182012942367]}"
